Searched Term,Title,Company,Link
java,https://we-work-remotely.imgix.net/logos/0016/4192/logo.gif?ixlib=rails-2.1.3&w=50&h=50&dpr=2&fit=fill&auto=compress,"Technical Product Manager, API Integrations",ReCharge Payments,https://weworkremotely.com/remote-jobs/recharge-payments-technical-product-manager-api-integrations
java,https://we-work-remotely.imgix.net/logos/0016/1825/logo.gif?ixlib=rails-2.1.3&w=50&h=50&dpr=2&fit=fill&auto=compress,QA Engineer,Knack,https://weworkremotely.com/remote-jobs/knack-qa-engineer-1
java,https://we-work-remotely.imgix.net/logos/0016/4277/logo.gif?ixlib=rails-2.1.3&w=50&h=50&dpr=2&fit=fill&auto=compress,Senior Frontend Developer (React),Shogun,https://weworkremotely.com/remote-jobs/shogun-senior-frontend-developer-react
java,,Senior Full Stack Ruby on Rails Engineer,"Planet Home, LLC.",https://weworkremotely.com/remote-jobs/planet-home-llc-senior-full-stack-ruby-on-rails-engineer
java,https://i.stack.imgur.com/wQ0qQ.png?s=48,Security Engineer - Remote,Numbrs,https://stackoverflow.com/jobs/170508/security-engineer-remote-numbrs?a=VblYDVmyj5e&so=i&pg=1&offset=0&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/rcM69.png?s=48,"Freelance Java Developer – Remote, Full-time",Toptal,https://stackoverflow.com/jobs/394913/freelance-java-developer-remote-full-time-toptal?a=28rnoZI4H9G8&so=i&pg=1&offset=1&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/RiaaM.jpg?s=48,"Scala Developer To Work on Articles (remote, part-time)",Baeldung,https://stackoverflow.com/jobs/350887/scala-developer-to-work-on-articles-remote-part-baeldung?a=1TFWUOnvgozm&so=i&pg=1&offset=2&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/wQ0qQ.png?s=48,Software Architect - Remote,Numbrs,https://stackoverflow.com/jobs/301664/software-architect-remote-numbrs?a=1DasPK2Mhd6w&so=i&pg=1&offset=3&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/9z3js.jpg?s=48,Senior React Native Developer (Remote),X-Team,https://stackoverflow.com/jobs/200538/senior-react-native-developer-remote-x-team?a=15fLf4yLIsfu&so=i&pg=1&offset=4&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/wQ0qQ.png?s=48,Engineering Manager - Remote,Numbrs,https://stackoverflow.com/jobs/244993/engineering-manager-remote-numbrs?a=1ka6WhtA95q8&so=i&pg=1&offset=5&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/ceNf8.png?s=48,QA Automation Engineer (AWS/ Kubernetes): Remote (Global),Modus Create,https://stackoverflow.com/jobs/398159/qa-automation-engineer-aws-kubernetes-remote-modus-create?a=29wS0HflNdcY&so=i&pg=1&offset=6&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,,Software Dev Engineer II,Amazon Fintech,https://stackoverflow.com/jobs/398178/software-dev-engineer-ii-amazon-fintech?a=29xgvkdzTshq&so=i&pg=1&offset=7&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/aNMHJ.jpg?s=48,Omni Channel Solution Architect,"eTeki, Inc.",https://stackoverflow.com/jobs/302257/omni-channel-solution-architect-eteki-inc?a=1DmNiWfYTqF2&so=i&pg=1&offset=8&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/9z3js.jpg?s=48,Senior iOS Developer (Remote),X-Team,https://stackoverflow.com/jobs/191013/senior-ios-developer-remote-x-team?a=123I0AJB1DMs&so=i&pg=1&offset=9&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,https://i.stack.imgur.com/9z3js.jpg?s=48,Senior Android/Kotlin Developer (Remote),X-Team,https://stackoverflow.com/jobs/202666/senior-android-kotlin-developer-remote-x-team?a=15Y0ztmeZGi4&so=i&pg=1&offset=10&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
java,,Software Dev Engineer III,Amazon Fintech,https://stackoverflow.com/jobs/398177/software-dev-engineer-iii-amazon-fintech?a=29xfdoH2whHi&so=i&pg=1&offset=11&total=15&so_medium=Internal&so_source=JobSearch&q=java&r=true
